title,company,salary,location,url,crawled_at,min_salary_raw,max_salary_raw,currency,min_salary_mil_vnd,max_salary_mil_vnd,avg_salary_mil_vnd
0,,Thỏa thuận,,https://www.topcv.vn/viec-lam-da-luu,2026-01-30T09:23:50.583243,,,Negotiable,,,
Danh sách việc làm đã lưu,,Thỏa thuận,,https://www.topcv.vn/viec-lam-da-luu,2026-01-30T09:23:50.583243,,,Negotiable,,,
Việc làm,,Thỏa thuận,,https://www.topcv.vn/viec-lam,2026-01-30T09:23:50.583243,,,Negotiable,,,
Tìm việc làm,,Thỏa thuận,,https://www.topcv.vn/viec-lam,2026-01-30T09:23:50.583243,,,Negotiable,,,
Việc làm đã lưu,,Thỏa thuận,,https://www.topcv.vn/viec-lam-da-luu,2026-01-30T09:23:50.583243,,,Negotiable,,,
Việc làm phù hợp,,Thỏa thuận,,https://www.topcv.vn/viec-lam-phu-hop,2026-01-30T09:23:50.583243,,,Negotiable,,,
Việc làm Nhân viên kinh doanh,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nhan-vien-kinh-doanh,2026-01-30T09:23:50.583243,,,Negotiable,,,
Việc làm Kế toán,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-ke-toan,2026-01-30T09:23:50.584244,,,Negotiable,,,
Việc làm Marketing,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-marketing,2026-01-30T09:23:50.584244,,,Negotiable,,,
Việc làm Hành chính nhân sự,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-hanh-chinh-nhan-su,2026-01-30T09:23:50.584244,,,Negotiable,,,
Viêc làm Chăm sóc khách hàng,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nhan-vien-cham-soc-khach-hang,2026-01-30T09:23:50.584244,,,Negotiable,,,
Việc làm Ngân hàng,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-ngan-hang,2026-01-30T09:23:50.584244,,,Negotiable,,,
Việc làm IT,,Thỏa thuận,,https://www.topcv.vn/viec-lam-it,2026-01-30T09:23:50.584244,,,Negotiable,,,
Việc làm Lao động phổ thông,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-lao-dong-pho-thong-cr1042,2026-01-30T09:23:50.584244,,,Negotiable,,,
Việc làm Senior,,Thỏa thuận,,https://www.topcv.vn/viec-lam-senior,2026-01-30T09:23:50.584244,,,Negotiable,,,
Việc làm Kỹ sư xây dựng,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-ky-su-xay-dung,2026-01-30T09:23:50.585243,,,Negotiable,,,
Việc làm Thiết kế đồ hoạ,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-thiet-ke-do-hoa-designer,2026-01-30T09:23:50.585243,,,Negotiable,,,
Việc làm Bất động sản,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-bat-dong-san,2026-01-30T09:23:50.585243,,,Negotiable,,,
Việc làm Giáo dục,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-giao-duc,2026-01-30T09:23:50.585243,,,Negotiable,,,
Việc làm telesales,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nhan-vien-telesales,2026-01-30T09:23:50.585243,,,Negotiable,,,
